Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Features,Coordination,Last update,D-STAR Enabled,Node,Sources,IRLP,Coverage,Web links,EchoLink,AllStar,Commands,Mixed-Mode,YSF Digital Enabled,DG-ID,Affiliate,Notes,WIRES-X,Links,Nets,DMR Enabled,Color Code,Wide Network,Grid,Feed,P25 Digital Enabled,NAC,Default Reflector,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,On-air,Local Network,Worldwide,North America,English,TAC 310,Local/Cluster,N. Colorado,DCI Bridge,Mountain Reg USA,Worldwide English,Location Photo,Wyoming,WyLOCAL
448.35,-5,225.7,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,7.1,W,yes,448.35,443.35,,,Jefferson,On-Air,Denver Water Amateur Radio Club (DWARC),,CCARC,yes,,,,,Denver Metro and surrounding,http://www.DWARC.com,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,100,N1UPS,Westminster,CO,OPEN,EI,7.2,NNW,yes,449.3,444.3,100,,Adams,On-Air,N1UPS,,CCARC,yes,,,,3699,,,43699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,7.4,WSW,yes,448.75,443.75,100,100,Jefferson,On-Air,,E-power.,CCARC,yes,,,,,Local.,,,,,,,,N0ELY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,7.6,WSW,yes,447.825,442.825,D073,D073,Jefferson,On-Air,Denver Radio Club,,CCARC,yes,,,,,,,,,,,,,,"Now operating in Narrow Band mode with Digital Code Squelch.
 Please reset your programing to use:
 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,8.4,ESE,yes,448.275,443.275,156.7,,Arapahoe,On-Air,W0BG,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,8.4,ESE,yes,448.825,443.825,,,Arapahoe,On-Air,,,,yes,,,,,,,,,,,yes,Open ↑ / Open ↓,,,30584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.4,-5,94.8,N0ZUQ,Aurora,CO,OPEN,,8.4,ESE,yes,448.4,443.4,94.8,,Arapahoe,On-Air,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,8.5,ESE,yes,448.5,443.5,100,,Denver,On-Air,Castle Rock Repeater Group,E-power.,CCARC,yes,,,,,Greater Denver area.,,,,,,,,,,,"Full-time to  
        145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,9,WSW,yes,224.38,222.78,100,100,Jefferson,On-Air,Denver Radio Club,,CCARC,yes,,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,9,WSW,yes,147.33,147.93,100,,Jefferson,On-Air,Denver Radio Club,E-power.,CCARC,yes,,,,,Metro Denver and the foothills.,DRC Repeaters,,,,,,,,Not recommeded to use tone squelch on this repeater.,,,SATERN: Thu at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,100,W0TX,"Lakewood, Green Mtn",CO,OPEN,,9,WSW,yes,449.775,444.775,100,100,Jefferson,On-Air,Denver Radio Club,,CCARC,yes,,,,,Metro Denver,Denver Radio Club,,,,Yes; analog capable.,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,10,SE,yes,449.15,444.15,,,Arapahoe,On-Air,Colorado Amateur Repeater Network (CARN),,CCARC,yes,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.045,0.6,123,K0ML,Northglenn,CO,OPEN,,10.1,N,yes,147.045,147.645,123,CSQ,Adams,On-Air,Northglenn RA,E-power.,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,10.3,WSW,yes,53.09,51.39,107.2,,Jefferson,On-Air,Denver Radio Club,E-power.,CCARC,yes,,,,,Metro Denver area.,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,12.3,W,yes,927.7875,902.7875,156.7,,Jefferson,On-Air,N0PYY,,,yes,,,,,Golden and Denver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,12.3,W,yes,448.125,443.125,107.2,,Jefferson,On-Air,Denver PD EEB,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,123,W0GV,Golden,CO,OPEN,A,12.3,W,yes,448.975,443.975,123,,Jefferson,On-Air,FRG,Linkable VHF/UHF Remote Base,CCARC,yes,,,,,Wide area.,,,42845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,CC0,KB0VGD,"Golden, Table Mountain",CO,OPEN,,12.4,WNW,yes,446.975,441.975,,,Jefferson,On-Air,W0DMR,,,yes,,,,,Denver Metro Area,http://www.w0dmr.org/,,,"TS 1, CC 2: TG 3171 - Northern Colorado Network, TG 3100 - DCI Bridge, TG 1776 - USA Network, TG 310 - Tac 310.  

TS 2, CC 2: TG 2 - Local",,,,,,,,"Tac 310 Net, Sundays 18:00 Mountain Time, TS1, TG 310.",yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,12.9,W,yes,145.25,144.65,,,Jefferson,On-Air,Colorado D-Star,,CCARC,yes,yes,W0CDS (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,12.9,W,yes,446.9625,441.9625,,,Jefferson,On-Air,Colorado D-Star,,CCARC,yes,yes,W0CDS (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,12.9,W,yes,145.37,144.77,,,Jefferson,On-Air,Rocky Mountain Ham Radio,,CCARC,yes,,,,,,Rocky Mountain Ham Radio,,,,,,,,See the website for programming information.,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,12.9,W,yes,1283.9625,1263.9625,,,Jefferson,On-Air,Colorado D-Star,,CCARC,yes,yes,W0CDS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,12.9,W,yes,1299.9,1299.9,,,Jefferson,On-Air,Colorado D-Star,,,yes,yes,W0CDS (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,12.9,WSW,yes,447.875,442.875,107.2,107.2,Jefferson,On-Air,N6LXX,,CCARC,yes,,,,,"I-70,I-76,I-25,I-225",,,29913,,,,,N6LXX,,,Full-time to the  N6LXX System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,12.9,WSW,yes,53.17,51.47,107.2,CSQ,Jefferson,On-Air,N6LXX,,CCARC,yes,,,,,"I-70,I-76,I-25,I-225",,,29883,,,,,N6LXX,,,Full-time to the  N6LXX System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC7,WA2YZT,"Golden, Lookout",CO,OPEN,,12.9,W,yes,446.8375,441.8375,,,Jefferson,On-Air,WA2YZT,200,CCARC,yes,,,,,,,,,,,,,,See website for more info on CC/TS/TG programming.  www.rmham.org,,Full-time to the  Colorado TRBO System .,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,W0KU,"Golden, Lookout Mountain",CO,OPEN,I,13.2,W,yes,449.625,444.625,141.3,141.3,Jefferson,On-Air,Rocky Mountain Ham Radio,E-power,CCARC,yes,,,,3750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.925,-5,131.8,W0LMA,Broomfield,CO,OPEN,,13.5,NNW,yes,448.925,443.925,131.8,,Boulder,On-Air,W0LMA,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,103.5,W0WYX,Broomfield,CO,OPEN,,13.5,NNW,yes,449.825,444.825,103.5,,Boulder,On-Air,Rocky Mountain Radio League,6,CCARC,yes,,,,,Along the foothills and into Boulder where the 94 repeater is shadowed.,Repeater,,,,,,,,,,,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,141.3,K0GUR,"Denver, Green Valley Ranch",CO,OPEN,EA,13.5,E,yes,448.15,443.15,141.3,141.3,Denver,On-Air,K0GUR,E-power (batt).  2 meter and 70cm channel steerable remote bases.,CCARC,yes,,,,,"Small coverage of the East Denver area SW of DIA. 
   Repeater Coverage Map",k0jsc.com,24340,29436,,,,,,Can be linked to various local repeater systems via the remote base(s). Echolink connects restricted. Email me to be added to the authorized list.  The system may be occupied in the Southern Colorado area for a formal net or ARES activity.,,Full-time to the  The Fun Machine System .,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",,,,DM79pt,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,14.5,SE,yes,145.19,144.59,151.4,131.8,Arapahoe,On-Air,N0OBA,Autopatch (please contact trustee).,,yes,,,,,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.",,10079,,,,,,,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott",,,"""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.8,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,16.1,SE,yes,145.4,144.6,100,,Arapahoe,On-Air,Castle Rock Repeater Group,"Autopatch, e-power.",CCARC,yes,,,,,Greater Denver area.,,,,,,,,,,,"Full-time to  
        448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,D023,K0PWO,Centennial,CO,OPEN,A,16.1,SE,yes,449.425,444.425,D023,D023,Arapahoe,Off-Air,K0PWO,,,yes,,,,,,,,29791,,,,,,Colorado SNP (Shared non-protected pair),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,,16.3,SE,yes,448.7,443.7,146.2,,Douglas,On-Air,,,,yes,,,,,Local North Parker only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,,17.8,SSW,yes,146.88,146.28,100,,Jefferson,On-Air,Denver Radio League,E-power.,CCARC,yes,,,,,Wide Area,DRL Repeaters,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,17.8,SSW,yes,449.6,444.6,100,,Jefferson,On-Air,Denver Radio League,,CCARC,yes,,,,3345,,DRL Repeaters,690473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,103.5,WT0C,"Golden, Guy Hill",CO,OPEN,,18.1,W,yes,145.22,144.62,103.5,103.5,Jefferson,On-Air,Rocky Mtn Radio League,8,CCARC,yes,,,,,Wide area.,Repeater,,,,Yes; analog capable.,,,,Talk-Group of $FFFF.,,,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,,18.1,W,yes,449.75,444.75,103.5,103.5,Jefferson,On-Air,Rocky Mtn Radio League,8,CCARC,yes,,,,,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.74,-1.6,88.5,N0POH,"Golden, Guy Hill",CO,OPEN,,18.1,W,yes,224.74,223.14,88.5,88.5,Jefferson,On-Air,Aurora Repeater Assoc,e-power,CCARC,yes,,,,,,ARA Repeaters,,,,,,,,,,,ARA: Wed at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,-1.6,103.5,N0MHU,"Golden, Guy Hill",CO,OPEN,,18.2,W,yes,224,222.4,103.5,103.5,Jefferson,On-Air,Rocky Mountain Radio League,8,CCARC,yes,,,,,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,W0CBI,"Golden, Guy Hill",CO,OPEN,,18.2,W,yes,147.15,147.75,100,100,Jefferson,On-Air,Aurora Repeater Assoc (ARA),e-power,CCARC,yes,,,,,"Denver metro, central front range",ARA Repeaters,,,,,,,,,,"Linkable to  
        224.74000 (N0POH) at Golden, Guy Hill, CO .",ARA: Wed at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,,18.2,W,yes,448.85,443.85,88.5,88.5,Jefferson,On-Air,Aurora Repeater Assoc,e-power.,CCARC,yes,,,,,"Denver metro, central front range",ARA Repeaters,,,,,,,,,,,ARA: Wed at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,18.8,SSE,yes,447.525,442.525,203.5,146.2,Douglas,On-Air,EmComm Colorado,,CCARC,yes,,,,,"Denver metropolitan area, front range foothills",,,,,,,,Colorado ARES,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,18.9,WSW,yes,145.34,144.74,103.5,127.3,Jefferson,On-Air,Rocky Mtn Radio League,E-power.,CCARC,yes,,,,3350,Wide area.,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,18.9,WSW,yes,145.175,144.575,D073,D073,Clear Creek,Off-Air,Rocky Mountain Ham Radio,,CCARC,yes,,,,,,Rocky Mountain Ham Radio,,,,Yes; analog capable.,,,,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,,,,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,77,W9SL,"Castle Pines, Daniels Park",CO,OPEN,,19.2,SSE,yes,449.95,444.95,77,77,Douglas,On-Air,W9SL Owner,,CCARC,yes,,,,,Primarily to the North along I-25 corridor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,19.6,W,yes,448.625,443.625,100,100,Jefferson,On-Air,Denver Radio Club,E-power.,CCARC,yes,,,,,Denver metro area.,DRC Repeaters,,,,,,,,,,"Full-time to  
        145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",DRC: Sun at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,19.6,W,yes,449.525,444.525,CSQ,,Jefferson,On-Air,KE0SJ,E-power.,CCARC,yes,,,,,,Intermountain Repeater Group,,,,,,,,,,"Full-time to  
        145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,19.6,W,yes,145.28,144.68,100,,Jefferson,On-Air,,"Closed autopatch, e-power, linked.",CCARC,yes,,,,,Wide area.,Intermountain Repeater Group,,,,,,,,"PL is usually off, allowing use by older transceivers.",,"Full-time to  
        449.52500 (KE0SJ) at Golden, Centennial Cone, CO .",Sun at 19:30. Everyone welcome.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,19.6,W,yes,146.985,146.385,100,100,Denver,On-Air,El Jebel RADOPS,E-power.,CCARC,yes,,,,3346,,,,,,,,,,,,,RADOPS: Sun at 19:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,,19.6,W,yes,146.64,146.04,100,,Jefferson,On-Air,Denver Radio League,E-power.,CCARC,yes,,,,,"Wide area. 
   Repeater Coverage Map",DRL Repeaters,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,D205,KI0HC,"Golden, Centennial Cone",CO,OPEN,A,20,W,yes,927.8375,902.025,,,Jefferson,On-Air,,,CCARC,yes,,,,,Great coverage of the Denver area and I-76 East to Atwood MM112. I-70 East to Agate MM340. West to Idaho Springs MM240. And I-25 from Larkspur MM172 to Longmont MM240 depending on the hills.,,,45770,,,,,,The offset is -25.8125,,,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,
446.7875,-5,CC1,W0TX,"Denver, Centennial Cone",CO,OPEN,,20,W,yes,446.7875,441.7875,,,Jefferson,On-Air,Denver Radio Club,,CCARC,yes,,,,,,http://www.w0tx.org/,,,"Any Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf.  TG's are PTT enabled and will timeout after 15 minutes of inactivity.  Time Slot 2 Talk Group 310805 is local repeater only.",,,,Brandmeister Network,,,,,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,21.6,SSW,yes,447.5,442.5,88.5,88.5,Jefferson,On-Air,Aurora Repeater Association,E-power.,CCARC,yes,,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.9,-5,100,W0DK,"Boulder, Table Mesa",CO,OPEN,,22.4,NW,yes,448.9,443.9,100,,Boulder,On-Air,Boulder ARC,6,CCARC,yes,,,,,"Wyoming border in the north, to Monument Hill in the south, near Colorado Springs. Its coverage is primarily to the east of the Front Range of the Rockies as the repeater signal is blocked to the west by the even higher Rocky Mountain peaks with altitudes of over 14,000 feet.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,W0DK,Boulder,CO,OPEN,I,22.4,NW,yes,146.61,146.01,100,,Boulder,Off-Air,Boulder Amateur Radio Club,,CCARC,yes,,,,7007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,W0DK,"Boulder, Table Mountain",CO,OPEN,,22.5,NW,yes,146.7,146.1,100,,Boulder,On-Air,Boulder Co ARC,6,CCARC,yes,,,,,"Wyoming border in the north, to Monument Hill (near Colorado Springs) in the south. Coverage is primarily to the east of the Rockies Front Range, as the repeater signal is blocked to the west by mountain peaks with altitudes of over 14,000 feet.",BARC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,22.5,SW,yes,1287.9,1267.9,CSQ,,Jefferson,Off-Air,Colorado Repeater Association (CRA),,CCARC,yes,,,,,Fort Collins to Colorado Springs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,22.5,SW,yes,447.15,442.15,107.2,107.2,Jefferson,Off-Air,Colorado Repeater Association (CRA),"Closed autopatch, e-power.",CCARC,yes,,,,,Wide area: Denver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,22.5,SW,yes,224.98,223.38,107.2,107.2,Jefferson,Off-Air,Colorado Repeater Association,"Closed autopatch, e-power.",CCARC,yes,,,,3990,Wide area. Denver.,,347086,,,,,,,,,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.3,-5,107.2,AC0KC,Fort Lupton,CO,OPEN,EI,22.6,NNE,yes,447.3,442.3,107.2,,Weld,On-Air,,,CCARC,yes,,,,3887,,,405804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KE0SJ,Lochbuie,CO,OPEN,,23.5,NE,yes,447.625,442.625,100,,Adams,On-Air,Intermountain Repeater Group,,,yes,,,,,Local/North Metro,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,W0IA,"Boulder, Gunbarrel Hill",CO,OPEN,,23.6,NNW,yes,146.76,146.16,100,,Boulder,On-Air,Rocky Mtn VHF Soc,5,CCARC,yes,,,,,Wide area.,,,,,,,,Boulder County ARES,"ARES primary repeater. 
 Voting Receivers:  
 
   
    RX Location    Tone    Pitch    PL  
   
   Gunbarrel  single beep  low  100.0 
   
   Lousville  single beep  low  100.0 
   
   Lyons  double beep  high followed by medium  100.0 
   
   Louisville #2  double beep  high followed by low  100.0",,,,,,,,,,,,Tone,single beep,single beep,double beep,double beep,,,,,,,,,,,,,,,,,,,,
