Name,Location,Nets
WA4HND 449.575,"CO Mesa Grand Junction, Black Ridge",Wed RACES Net 1930 Hrs
W0RRZ 146.94,"CO Mesa Grand Junction, Black Ridge (Above Colorado Ntl Monument)",Oatmeal Net: Mon-Fri at 7:30AM-8:00AM
WA4HND 449.3,"CO Mesa Grand Junction, Grand Mesa",RACES Wed 1930 hrs
KB0YNA 449.4,"CO Mesa Delta, Uncompahgre Butte",RACES Wed 1930 Hrs
KB0VJJ 145.355,"CO Mesa Grand Junction, Grand Mesa","Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00."
K7QEQ 449.1,"UT Grand Moab, Bald Mesa",RACES Wed. 1930 hours
KB0VJJ 146.85,"CO Garfield Glenwood Springs, Sunlight Peak",Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net
WA4HND 447.2,"CO Montrose Montrose, Waterdog Peak",RACES Net Wed at 1930 Hrs.
WA4HND 449.85,"CO Garfield Glenwood Springs, Lookout Mountain",Colorado State RACES  Wed 1930 local
KB0YNA 449.7,"CO San Miguel Telluride, Gray Head",RACES: Wed at 19:30.
KD5LWU 146.79,"CO Montezuma Cortez, Downtown",4
KB0VJJ 147.345,CO Eagle Vail,"Central Colorado Traffic Net: Daily at 19:3030 
Colorado Connection Net (All Welcome):  Thu at 20:00. 
Statewide ARES net: Sun at 20:00."
KB0VJJ 147.345,"CO La Plata Durango, Missionary Ridge","Central Colorado Traffic Net: Daily at 19:30.  
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00."
KB0VJJ 449.625,CO Routt Steamboat Springs,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net: Thu at 20:00 (All welcome).  
Statewide ARES Net: Sundays at 20:00."
KB0VJJ 145.445,"CO Lake Leadville, Mosquito Pass","Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00."
KB0VJJ 147.075,"CO Grand Kremmling, Santoy Peak","Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00."
KB0VJJ 147.39,"CO Summit Breckenridge, Bald Mountain","Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00."
KB0VJJ 147.285,"CO Chaffee Salida, Methodist Mountain","Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES Net: Sun at 20:00."
K0JSC 449.975,"CO Chaffee Salida, Methodist Mountain","APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00."
N7RUG 146.61,"WY Sweetwater Rock Springs, Aspen Mountain",Sun at 19:30.
KB0VJJ 145.16,"CO Jackson Walden, Peterson Ridge","Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00."
K7JL 145.27,"UT Juab Levan, Levan Peak",State RACES: 3rd Thursday of even-numbered months.
NV7V 447,UT Utah Payson,Mountain View Stake net: Sun at 20:00.
N7BYU 145.33,"UT Utah Provo, BYU",BYU ARC: Thu at 21:00.
NX0G 146.685,"CO Park Lake George, Badger Mountain",MARC/PCRC: Tue at 19:30.
AB0PC 146.895,"CO Park Bailey, Dick Mountain",Wed at 19:30.
N7ZOI 147.2,"UT Wasatch Midway, Wilson Peak",HVARC: Wed at 20:00.
W0WYX 146.94,"CO Clear Creek Idaho Springs, Squaw Mountain","Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00."
K1DUN 449.45,"CO Clear Creek Idaho Springs, Squaw Mountain",RMRL: Mon at 20:30.
KB0UDD 146.67,"CO Clear Creek Idaho Springs, Squaw Mountain",CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.
W0TX 145.49,"CO Jefferson Idaho Springs, Centennial Cone",DRC: Sun at 20:30.
K7UCS 147.34,"UT Utah Goshen, West Mountain",UCARES: Tues at 21:00.
K7JL 145.27,"UT Salt Lake Brighton, Scotts Peak",State RACES: 3rd Thursday of even-numbered months.
WA7VHF 146.84,"UT Sevier Richfield, Monroe Peak",Tue at 20:00.
K7JL 147.18,"UT Utah Snowbird, Hidden Peak",UVHFS: Tue at 20:00.
KB0VJJ 145.31,"CO Gilpin Boulder, Thorodin Mountain","Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00."
W0TX 448.625,"CO Jefferson Golden, Centennial Cone",DRC: Sun at 20:30.
K0FEZ 146.985,"CO Denver Golden, Centennial Cone",RADOPS: Sun at 19:00.
KE0SJ 145.28,"CO Jefferson Golden, Centennial Cone",Sun at 19:30. Everyone welcome.
WA7VHF 448.6,"UT San Juan Page, Navajo Mountain",UVHFS: Tue at 20:00.
W0CBI 147.15,"CO Jefferson Golden, Guy Hill",ARA: Wed at 20:00.
K0IBM 448.85,"CO Jefferson Golden, Guy Hill",ARA: Wed at 20:00.
N0POH 224.74,"CO Jefferson Golden, Guy Hill",ARA: Wed at 2000.
KG7QWU 448.875,UT Utah Lehi,"CERT, Lehi Cedar Hollow Stake, Saratoga Springs CERT"
WA7GIE 147.36,"UT Summit Coalville, Lewis Peak",SCARC: Thu at 2100.
K7UVA 448.2,"UT Utah Orem, Lake Mountain","Ladies' Net Tue 1900, Youth Net Thu 1830, New Ham Net Thu 1900, Family History Net Sat 20:00"
W7SP 146.76,"UT Utah Provo, Lake Mountain",Wednesday at 19:00
K7UVA 224.56,"UT Utah Orem, Lake Mountain",Ladies Net: Tue 19:00 Youth Net: Thu 18:30 New Ham Net: Thu 19:00 Family History Net: Sat 20:0
K7UVA 146.78,"UT Utah Orem, Lake Mountain",Ladies Net: Tue 19:00 Youth Net: Thu 18:30 New Ham Net: Thu 19:00 Family History Net: Sat 20:00
W0JZ 146.91,CO Boulder Gold Hill,"Summer Tue at 19:30P, Winter 19:00."
K7JL 146.86,"WY Uinta Evanston, Medicine Butte",Utah VHF Society Tuesday: 20:00
N0FH 449.8,CO Larimer Estes Park,ARES D-10: Thu at 19:00.
K0JSC 447.25,"CO Fremont Canon City, Fremont Peak","Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00."
WD0EKR 145.49,"CO Fremont Canon City, Fremont Peak","RGARC Net: Wed at 19:00. 
ARES Net: Wed at 19:30."
KB0VGD 446.975,"CO Jefferson Golden, Table Mountain","Tac 310 Net, Sundays 18:00 Mountain Time, TS1, TG 310."
NX0G 147.015,CO Teller Cripple Creek,MARC/PCRC: Tue at 19:30.
N0FH 146.685,CO Larimer Estes Park,ARES D-10: Thu at 19:00.
W0TX 147.33,"CO Jefferson Lakewood, Green Mountain",SATERN: Thu at 19:30.
