Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,D-STAR Enabled,Node,Sources,County,Op Status,Sponsor,Coordination,Last update,Uplink Tone,Downlink Tone,Coverage,Features,Web links,IRLP,EchoLink,AllStar,Commands,YSF Digital Enabled,DG-ID,Mixed-Mode,Nets,Affiliate,Notes,WIRES-X,Links,DMR Enabled,Color Code,Wide Network,Grid,Feed,P25 Digital Enabled,NAC,Default Reflector,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,On-air,Worldwide,North America,Local/Cluster,English,TAC 310,N. Colorado,DCI Bridge,Mountain Reg USA,Worldwide English,Location Photo,Wyoming,WyLOCAL
449.3,-5,100,N1UPS,Westminster,CO,OPEN,EI,7.2,NNW,,449.3,444.3,,,,Adams,On-Air,N1UPS,CCARC,,100,,,,,3699,43699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,7.4,WSW,,448.75,443.75,,,,Jefferson,On-Air,,CCARC,,100,100,Local.,E-power.,,,,,,,,,,N0ELY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,7.6,WSW,,447.825,442.825,,,,Jefferson,On-Air,Denver Radio Club,CCARC,,D073,D073,,,,,,,,,,,,,"Now operating in Narrow Band mode with Digital Code Squelch.
 Please reset your programing to use:
 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,8.4,ESE,,448.275,443.275,,,,Arapahoe,On-Air,W0BG,CCARC,,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.4,-5,94.8,N0ZUQ,Aurora,CO,OPEN,,8.4,ESE,,448.4,443.4,,,,Arapahoe,On-Air,,CCARC,,94.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,8.4,ESE,,448.825,443.825,,,,Arapahoe,On-Air,,,,,,,,,,,,,,Open ↑ / Open ↓,,,,,30584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,8.5,ESE,,448.5,443.5,,,,Denver,On-Air,Castle Rock Repeater Group,CCARC,,100,,Greater Denver area.,E-power.,,,,,,,,,,,,,"Full-time to  
        145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,100,W0TX,"Lakewood, Green Mtn",CO,OPEN,,9,WSW,,449.775,444.775,,,,Jefferson,On-Air,Denver Radio Club,CCARC,,100,100,Metro Denver,,Denver Radio Club,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,9,WSW,,147.33,147.93,,,,Jefferson,On-Air,Denver Radio Club,CCARC,,100,,Metro Denver and the foothills.,E-power.,DRC Repeaters,,,,,,,,SATERN: Thu at 19:30.,,Not recommeded to use tone squelch on this repeater.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,9,WSW,,224.38,222.78,,,,Jefferson,On-Air,Denver Radio Club,CCARC,,100,100,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,10,SE,,449.15,444.15,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",Arapahoe,On-Air,Colorado Amateur Repeater Network (CARN),CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.045,0.6,123,K0ML,Northglenn,CO,OPEN,,10.1,N,,147.045,147.645,,,,Adams,On-Air,Northglenn RA,CCARC,,123,CSQ,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,10.3,WSW,,53.09,51.39,,,,Jefferson,On-Air,Denver Radio Club,CCARC,,107.2,,Metro Denver area.,E-power.,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,12.3,W,,448.125,443.125,,,,Jefferson,On-Air,Denver PD EEB,CCARC,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,123,W0GV,Golden,CO,OPEN,A,12.3,W,,448.975,443.975,,,,Jefferson,On-Air,FRG,CCARC,,123,,Wide area.,Linkable VHF/UHF Remote Base,,,,42845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,12.3,W,,927.7875,902.7875,,,,Jefferson,On-Air,N0PYY,,,156.7,,Golden and Denver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,CC0,KB0VGD,"Golden, Table Mountain",CO,OPEN,,12.4,WNW,,446.975,441.975,,,,Jefferson,On-Air,W0DMR,,,,,Denver Metro Area,,http://www.w0dmr.org/,,,,"TS 1, CC 2: TG 3171 - Northern Colorado Network, TG 3100 - DCI Bridge, TG 1776 - USA Network, TG 310 - Tac 310.  

TS 2, CC 2: TG 2 - Local",,,,"Tac 310 Net, Sundays 18:00 Mountain Time, TS1, TG 310.",,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,12.9,W,,1299.9,1299.9,,W0CDS (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",Jefferson,On-Air,Colorado D-Star,,,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC7,WA2YZT,"Golden, Lookout",CO,OPEN,,12.9,W,,446.8375,441.8375,,,,Jefferson,On-Air,WA2YZT,CCARC,,,,,200,,,,,,,,,,,See website for more info on CC/TS/TG programming.  www.rmham.org,,Full-time to the  Colorado TRBO System .,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,12.9,W,,145.37,144.77,,,,Jefferson,On-Air,Rocky Mountain Ham Radio,CCARC,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,See the website for programming information.,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,12.9,W,,145.25,144.65,,W0CDS (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",Jefferson,On-Air,Colorado D-Star,CCARC,,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,12.9,W,,446.9625,441.9625,,W0CDS (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",Jefferson,On-Air,Colorado D-Star,CCARC,,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,12.9,W,,1283.9625,1263.9625,,W0CDS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",Jefferson,On-Air,Colorado D-Star,CCARC,,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,12.9,WSW,,53.17,51.47,,,,Jefferson,On-Air,N6LXX,CCARC,,107.2,CSQ,"I-70,I-76,I-25,I-225",,,,,29883,,,,,,N6LXX,,,Full-time to the  N6LXX System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,12.9,WSW,,447.875,442.875,,,,Jefferson,On-Air,N6LXX,CCARC,,107.2,107.2,"I-70,I-76,I-25,I-225",,,,,29913,,,,,,N6LXX,,,Full-time to the  N6LXX System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,W0KU,"Golden, Lookout Mountain",CO,OPEN,I,13.2,W,,449.625,444.625,,,,Jefferson,On-Air,Rocky Mountain Ham Radio,CCARC,,141.3,141.3,,E-power,,3750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,141.3,K0GUR,"Denver, Green Valley Ranch",CO,OPEN,EA,13.5,E,,448.15,443.15,,,,Denver,On-Air,K0GUR,CCARC,,141.3,141.3,"Small coverage of the East Denver area SW of DIA. 
   Repeater Coverage Map",E-power (batt).  2 meter and 70cm channel steerable remote bases.,k0jsc.com,,24340,29436,,,,,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",,Can be linked to various local repeater systems via the remote base(s). Echolink connects restricted. Email me to be added to the authorized list.  The system may be occupied in the Southern Colorado area for a formal net or ARES activity.,,Full-time to the  The Fun Machine System .,,,,DM79pt,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.925,-5,131.8,W0LMA,Broomfield,CO,OPEN,,13.5,NNW,,448.925,443.925,,,,Boulder,On-Air,W0LMA,CCARC,,131.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,103.5,W0WYX,Broomfield,CO,OPEN,,13.5,NNW,,449.825,444.825,,,,Boulder,On-Air,Rocky Mountain Radio League,CCARC,,103.5,,Along the foothills and into Boulder where the 94 repeater is shadowed.,6,Repeater,,,,,,,,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,14.5,SE,,145.19,144.59,,,,Arapahoe,On-Air,N0OBA,,,151.4,131.8,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.",Autopatch (please contact trustee).,,,10079,,,,,,"""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)",,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.8,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,16.1,SE,,145.4,144.6,,,,Arapahoe,On-Air,Castle Rock Repeater Group,CCARC,,100,,Greater Denver area.,"Autopatch, e-power.",,,,,,,,,,,,,"Full-time to  
        448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,D023,K0PWO,Centennial,CO,OPEN,A,16.1,SE,,449.425,444.425,,,,Arapahoe,Off-Air,K0PWO,,,D023,D023,,,,,,29791,,,,,,,Colorado SNP (Shared non-protected pair),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,I,16.3,SE,,448.7,443.7,,,,Douglas,On-Air,,,,146.2,,Local North Parker only,,,3415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,,17.8,SSW,,146.88,146.28,,,,Jefferson,On-Air,Denver Radio League,CCARC,,100,,Wide Area,E-power.,DRL Repeaters,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,17.8,SSW,,449.6,444.6,,,,Jefferson,On-Air,Denver Radio League,CCARC,,100,,,,DRL Repeaters,3345,690473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,103.5,WT0C,"Golden, Guy Hill",CO,OPEN,,18.1,W,,145.22,144.62,,,,Jefferson,On-Air,Rocky Mtn Radio League,CCARC,,103.5,103.5,Wide area.,8,Repeater,,,,,,,Yes; analog capable.,,,Talk-Group of $FFFF.,,,,,,,,,293,,,,,,,,,,,,,,,,,,,,,,,,,
224.74,-1.6,88.5,N0POH,"Golden, Guy Hill",CO,OPEN,,18.1,W,,224.74,223.14,,,,Jefferson,On-Air,Aurora Repeater Assoc,CCARC,,88.5,88.5,,e-power,ARA Repeaters,,,,,,,,ARA: Wed at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,,18.1,W,,449.75,444.75,,,,Jefferson,On-Air,Rocky Mtn Radio League,CCARC,,103.5,103.5,,8,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,-1.6,103.5,N0MHU,"Golden, Guy Hill",CO,OPEN,,18.2,W,,224,222.4,,,,Jefferson,On-Air,Rocky Mountain Radio League,CCARC,,103.5,103.5,,8,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,,18.2,W,,448.85,443.85,,,,Jefferson,On-Air,Aurora Repeater Assoc,CCARC,,88.5,88.5,"Denver metro, central front range",e-power.,ARA Repeaters,,,,,,,,ARA: Wed at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,W0CBI,"Golden, Guy Hill",CO,OPEN,,18.2,W,,147.15,147.75,,,,Jefferson,On-Air,Aurora Repeater Assoc (ARA),CCARC,,100,100,"Denver metro, central front range",e-power,ARA Repeaters,,,,,,,,ARA: Wed at 20:00.,,,,"Linkable to  
        224.74000 (N0POH) at Golden, Guy Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,18.8,SSE,,447.525,442.525,,,,Douglas,On-Air,EmComm Colorado,CCARC,,203.5,146.2,"Denver metropolitan area, front range foothills",,,,,,,,,,,Colorado ARES,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,18.9,WSW,,145.175,144.575,,,,Clear Creek,Off-Air,Rocky Mountain Ham Radio,CCARC,,D073,D073,,,Rocky Mountain Ham Radio,,,,,,,Yes; analog capable.,,,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,18.9,WSW,,145.34,144.74,,,,Jefferson,On-Air,Rocky Mtn Radio League,CCARC,,103.5,127.3,Wide area.,E-power.,Repeater,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,77,W9SL,"Castle Pines, Daniels Park",CO,OPEN,,19.2,SSE,,449.95,444.95,,,,Douglas,On-Air,W9SL Owner,CCARC,,77,77,Primarily to the North along I-25 corridor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,19.6,W,,449.525,444.525,,,,Jefferson,On-Air,KE0SJ,CCARC,,CSQ,,,E-power.,Intermountain Repeater Group,,,,,,,,,,,,"Full-time to  
        145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,,19.6,W,,146.64,146.04,,,,Jefferson,On-Air,Denver Radio League,CCARC,,100,,"Wide area. 
   Repeater Coverage Map",E-power.,DRL Repeaters,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,19.6,W,,145.28,144.68,,,,Jefferson,On-Air,,CCARC,,100,,Wide area.,"Closed autopatch, e-power, linked.",Intermountain Repeater Group,,,,,,,,Sun at 19:30. Everyone welcome.,,"PL is usually off, allowing use by older transceivers.",,"Full-time to  
        449.52500 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,19.6,W,,146.985,146.385,,,,Denver,On-Air,El Jebel RADOPS,CCARC,,100,100,,E-power.,,3346,,,,,,,RADOPS: Sun at 19:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,19.6,W,,448.625,443.625,,,,Jefferson,On-Air,Denver Radio Club,CCARC,,100,100,Denver metro area.,E-power.,DRC Repeaters,,,,,,,,DRC: Sun at 20:30.,,,,"Full-time to  
        145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,D205,KI0HC,"Golden, Centennial Cone",CO,OPEN,A,20,W,,927.8375,902.025,,,,Jefferson,On-Air,,CCARC,,,,Great coverage of the Denver area and I-76 East to Atwood MM112. I-70 East to Agate MM340. West to Idaho Springs MM240. And I-25 from Larkspur MM172 to Longmont MM240 depending on the hills.,,,,,45770,,,,,,,The offset is -25.8125,,,,,,,,,293,,,,,,,,,,,,,,,,,,,,,,,,,
446.7875,-5,CC1,W0TX,"Denver, Centennial Cone",CO,OPEN,,20,W,,446.7875,441.7875,,,,Jefferson,On-Air,Denver Radio Club,CCARC,,,,,,http://www.w0tx.org/,,,,"Any Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf.  TG's are PTT enabled and will timeout after 15 minutes of inactivity.  Time Slot 2 Talk Group 310805 is local repeater only.",,,,,Brandmeister Network,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,21.6,SSW,,447.5,442.5,,,,Jefferson,On-Air,Aurora Repeater Association,CCARC,,88.5,88.5,Wide area.,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,W0DK,Boulder,CO,OPEN,I,22.4,NW,,146.61,146.01,,,,Boulder,Off-Air,Boulder Amateur Radio Club,CCARC,,100,,,,,7007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.9,-5,100,W0DK,"Boulder, Table Mesa",CO,OPEN,,22.4,NW,,448.9,443.9,,,,Boulder,On-Air,Boulder ARC,CCARC,,100,,"Wyoming border in the north, to Monument Hill in the south, near Colorado Springs. Its coverage is primarily to the east of the Front Range of the Rockies as the repeater signal is blocked to the west by the even higher Rocky Mountain peaks with altitudes of over 14,000 feet.",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,22.5,SW,,224.98,223.38,,,,Jefferson,Off-Air,Colorado Repeater Association,CCARC,,107.2,107.2,Wide area. Denver.,"Closed autopatch, e-power.",,3990,347086,,,,,,,,,,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,W0DK,"Boulder, Table Mountain",CO,OPEN,,22.5,NW,,146.7,146.1,,,,Boulder,On-Air,Boulder Co ARC,CCARC,,100,,"Wyoming border in the north, to Monument Hill (near Colorado Springs) in the south. Coverage is primarily to the east of the Rockies Front Range, as the repeater signal is blocked to the west by mountain peaks with altitudes of over 14,000 feet.",6,BARC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,22.5,SW,,1287.9,1267.9,,,,Jefferson,Off-Air,Colorado Repeater Association (CRA),CCARC,,CSQ,,Fort Collins to Colorado Springs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,22.5,SW,,447.15,442.15,,,,Jefferson,Off-Air,Colorado Repeater Association (CRA),CCARC,,107.2,107.2,Wide area: Denver.,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.3,-5,107.2,AC0KC,Fort Lupton,CO,OPEN,EI,22.6,NNE,,447.3,442.3,,,,Weld,On-Air,,CCARC,,107.2,,,,,3887,405804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KE0SJ,Lochbuie,CO,OPEN,,23.5,NE,,447.625,442.625,,,,Adams,On-Air,Intermountain Repeater Group,,,100,,Local/North Metro,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,W0IA,"Boulder, Gunbarrel Hill",CO,OPEN,,23.6,NNW,,146.76,146.16,,,,Boulder,On-Air,Rocky Mtn VHF Soc,CCARC,,100,,Wide area.,5,,,,,,,,,,Boulder County ARES,"ARES primary repeater. 
 Voting Receivers:  
 
   
    RX Location    Tone    Pitch    PL  
   
   Gunbarrel  single beep  low  100.0 
   
   Lousville  single beep  low  100.0 
   
   Lyons  double beep  high followed by medium  100.0 
   
   Louisville #2  double beep  high followed by low  100.0",,,,,,,,,,,Tone,single beep,single beep,double beep,double beep,,,,,,,,,,,,,,,,,,,
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,23.9,W,,447.85,442.85,,,,Clear Creek,On-Air,AC0KQ,CCARC,,141.3,141.3,Wide area at 9500',AllStar node repeater providing wide area coverage along the Front Range,,,,29571,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.55,-5,100,W0IA,Boulder,CO,OPEN,E,24.1,NW,,449.55,444.55,,,,Boulder,On-Air,Rocky Mtn VHF Soc,CCARC,,100,,Denver metro area.,8,,,217336,,,,,,,,,,"Full-time to  
        224.02000 (W0IA) at Boulder, Lee Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,91.5,K0DK,Boulder,CO,OPEN,,24.1,NW,,449.4,444.4,,,,Boulder,Off-Air,BARC,CCARC,,91.5,,,2,http://www.ked-wireless.com/products1.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
