Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsRxCode,DtcsPolarity,Mode,TStep,Comment
,K7QEQ 146.9,146.9,-,0.6,Tone,88.5,88.5,23,23,NN,FM,5,Sinbad Desert ARC
,K7QEQ 146.76,146.76,-,0.6,Tone,88.5,88.5,23,23,NN,FM,5,Sinbad Desert ARC
,K7SDC 146.61,146.61,-,0.6,Tone,88.5,88.5,23,23,NN,FM,5,Sinbad Desert ARC
,K7SDC 147.14,147.14,+,0.6,Tone,88.5,88.5,23,23,NN,FM,5,Sinbad Desert ARC
,K7SDC 147.08,147.08,+,0.6,Tone,136.5,88.5,23,23,NN,FM,5,Sinbad Desert ARC
,K7SDC 147.32,147.32,+,0.6,Tone,88.5,88.5,23,23,NN,FM,5,Sinbad Desert ARC
,K7SDC 449.05,449.05,-,5,Tone,88.5,88.5,23,23,NN,FM,5,Sinbad Desert ARC
,K7SDC 147.06,147.06,+,0.6,Tone,88.5,88.5,23,23,NN,FM,5,Sinbad Desert ARC
,K7SDC 145.31,145.31,-,0.6,Tone,88.5,88.5,23,23,NN,FM,5,Sinbad Desert ARC
,K7SDC 147.08,147.08,+,0.6,Tone,88.5,88.5,23,23,NN,FM,5,Sinbad Desert ARC
,WX7Y 147.08,147.08,+,0.6,Tone,77,88.5,23,23,NN,FM,5,Sinbad Desert ARC
,WX7Y 223.92,223.92,-,1.6,Tone,88.5,88.5,23,23,NN,FM,5,Sinbad Desert ARC
